CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance;Region;Age;BikeBuyer
11000;26;AW00011000;None;Jon;V;Yang;0;1966-04-08;M;None;M;jon24@adventure-works.com;90000;2;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;0;3761 N. 14th St;None;1 (11) 500 555-0162;7/22/2005;1-2 Miles;Pacific;58;1
11001;37;AW00011001;None;Eugene;L;Huang;0;1965-05-14;S;None;M;eugene10@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;2243 W St.;None;1 (11) 500 555-0110;7/18/2005;0-1 Miles;Pacific;59;1
11002;31;AW00011002;None;Ruben;None;Torres;0;1965-08-12;M;None;M;ruben35@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;5844 Linden Land;None;1 (11) 500 555-0184;7/10/05;2-5 Miles;Pacific;59;1
11004;19;AW00011004;None;Elizabeth;None;Johnson;0;1968-08-08;S;None;F;elizabeth5@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;7553 Harness Circle;None;1 (11) 500 555-0131;7/26/2005;1-2 Miles;Pacific;56;1
11005;22;AW00011005;None;Julio;None;Ruiz;0;1965-08-05;S;None;M;julio1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;7305 Humphrey Drive;None;1 (11) 500 555-0151;7/2/05;5-10 Miles;Pacific;59;1
11007;40;AW00011007;None;Marco;None;Mehta;0;1964-05-09;M;None;M;marco14@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;2;942 Brook Street;None;1 (11) 500 555-0126;7/12/05;0-1 Miles;Pacific;60;1
11008;32;AW00011008;None;Rob;None;Verhoff;0;1964-07-07;S;None;F;rob4@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;3;624 Peabody Road;None;1 (11) 500 555-0164;7/28/2005;10+ Miles;Pacific;60;1
11010;22;AW00011010;None;Jacquelyn;C;Suarez;0;1964-02-06;S;None;F;jacquelyn20@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;7800 Corrinne Court;None;1 (11) 500 555-0169;7/17/2005;5-10 Miles;Pacific;60;1
11011;22;AW00011011;None;Curtis;None;Lu;0;1963-11-04;M;None;M;curtis9@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;1224 Shoenic;None;1 (11) 500 555-0117;7/2/05;10+ Miles;Pacific;61;1
11012;611;AW00011012;None;Lauren;M;Walker;0;1968-01-18;M;None;F;lauren41@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;2;4785 Scott Street;None;717-555-0164;9/17/2007;1-2 Miles;North America;56;0
11013;543;AW00011013;None;Ian;M;Jenkins;0;1968-08-06;M;None;M;ian47@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;3;7902 Hudson Ave.;None;817-555-0185;10/15/2007;0-1 Miles;North America;56;0
11014;634;AW00011014;None;Sydney;None;Bennett;0;1968-05-09;S;None;F;sydney23@adventure-works.com;100000;3;0;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;0;3;9011 Tank Drive;None;431-555-0156;9/24/2007;1-2 Miles;North America;56;0
11015;301;AW00011015;None;Chloe;None;Young;0;1979-02-27;S;None;F;chloe23@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;244 Willow Pass Road;None;208-555-0142;7/22/2007;5-10 Miles;North America;45;1
11016;329;AW00011016;None;Wyatt;L;Hill;0;1979-04-28;M;None;M;wyatt32@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;9666 Northridge Ct.;None;135-555-0171;8/13/2007;5-10 Miles;North America;45;1
11017;39;AW00011017;None;Shannon;None;Wang;0;1944-06-26;S;None;F;shannon1@adventure-works.com;20000;4;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;7330 Saddlehill Lane;None;1 (11) 500 555-0195;7/15/2005;5-10 Miles;Pacific;80;1
11018;32;AW00011018;None;Clarence;D;Rai;0;1944-10-09;S;None;M;clarence32@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;244 Rivewview;None;1 (11) 500 555-0137;7/20/2005;5-10 Miles;Pacific;80;1
11019;52;AW00011019;None;Luke;L;Lal;0;1978-03-07;S;None;M;luke18@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7832 Landing Dr;None;262-555-0112;8/16/2007;5-10 Miles;North America;46;0
