CustomerKey;GeographyKey;CustomerAlternateKey;Title;FirstName;MiddleName;LastName;NameStyle;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;EnglishEducation;SpanishEducation;FrenchEducation;EnglishOccupation;SpanishOccupation;FrenchOccupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CommuteDistance;Region;Age;BikeBuyer;BirthDateDay;BirthDateMonth;BirthDateYear;AgeRange
11000;26;AW00011000;;Jon;V;Yang;0;M;;M;jon24@adventure-works.com;90000;2;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;0;3761 N. 14th St;;1 (11) 500 555-0162;7/22/2005;1-2 Miles;Pacific;58;1;8;4;1966;51-60
11001;37;AW00011001;;Eugene;L;Huang;0;S;;M;eugene10@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;2243 W St.;;1 (11) 500 555-0110;7/18/2005;0-1 Miles;Pacific;59;1;14;5;1965;51-60
11002;31;AW00011002;;Ruben;;Torres;0;M;;M;ruben35@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;5844 Linden Land;;1 (11) 500 555-0184;7/10/05;2-5 Miles;Pacific;59;1;12;8;1965;51-60
11004;19;AW00011004;;Elizabeth;;Johnson;0;S;;F;elizabeth5@adventure-works.com;80000;5;5;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;7553 Harness Circle;;1 (11) 500 555-0131;7/26/2005;1-2 Miles;Pacific;56;1;8;8;1968;51-60
11005;22;AW00011005;;Julio;;Ruiz;0;S;;M;julio1@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;1;7305 Humphrey Drive;;1 (11) 500 555-0151;7/2/05;5-10 Miles;Pacific;59;1;5;8;1965;51-60
11007;40;AW00011007;;Marco;;Mehta;0;M;;M;marco14@adventure-works.com;60000;3;3;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;2;942 Brook Street;;1 (11) 500 555-0126;7/12/05;0-1 Miles;Pacific;60;1;9;5;1964;51-60
11008;32;AW00011008;;Rob;;Verhoff;0;S;;F;rob4@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;3;624 Peabody Road;;1 (11) 500 555-0164;7/28/2005;10+ Miles;Pacific;60;1;7;7;1964;51-60
11010;22;AW00011010;;Jacquelyn;C;Suarez;0;S;;F;jacquelyn20@adventure-works.com;70000;0;0;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;0;1;7800 Corrinne Court;;1 (11) 500 555-0169;7/17/2005;5-10 Miles;Pacific;60;1;6;2;1964;51-60
11011;22;AW00011011;;Curtis;;Lu;0;M;;M;curtis9@adventure-works.com;60000;4;4;Bachelors;Licenciatura;Bac + 4;Professional;Profesional;Cadre;1;4;1224 Shoenic;;1 (11) 500 555-0117;7/2/05;10+ Miles;Pacific;61;1;4;11;1963;61-70
11012;611;AW00011012;;Lauren;M;Walker;0;M;;F;lauren41@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;2;4785 Scott Street;;717-555-0164;9/17/2007;1-2 Miles;North America;56;0;18;1;1968;51-60
11013;543;AW00011013;;Ian;M;Jenkins;0;M;;M;ian47@adventure-works.com;100000;2;0;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;1;3;7902 Hudson Ave.;;817-555-0185;10/15/2007;0-1 Miles;North America;56;0;6;8;1968;51-60
11014;634;AW00011014;;Sydney;;Bennett;0;S;;F;sydney23@adventure-works.com;100000;3;0;Bachelors;Licenciatura;Bac + 4;Management;Gesti¢n;Direction;0;3;9011 Tank Drive;;431-555-0156;9/24/2007;1-2 Miles;North America;56;0;9;5;1968;51-60
11015;301;AW00011015;;Chloe;;Young;0;S;;F;chloe23@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;244 Willow Pass Road;;208-555-0142;7/22/2007;5-10 Miles;North America;45;1;27;2;1979;40-50
11016;329;AW00011016;;Wyatt;L;Hill;0;M;;M;wyatt32@adventure-works.com;30000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;1;1;9666 Northridge Ct.;;135-555-0171;8/13/2007;5-10 Miles;North America;45;1;28;4;1979;40-50
11017;39;AW00011017;;Shannon;;Wang;0;S;;F;shannon1@adventure-works.com;20000;4;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;1;2;7330 Saddlehill Lane;;1 (11) 500 555-0195;7/15/2005;5-10 Miles;Pacific;80;1;26;6;1944;71-80
11018;32;AW00011018;;Clarence;D;Rai;0;S;;M;clarence32@adventure-works.com;30000;2;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Clerical;Administrativo;Employ‚;1;2;244 Rivewview;;1 (11) 500 555-0137;7/20/2005;5-10 Miles;Pacific;80;1;9;10;1944;71-80
11019;52;AW00011019;;Luke;L;Lal;0;S;;M;luke18@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7832 Landing Dr;;262-555-0112;8/16/2007;5-10 Miles;North America;46;0;7;3;1978;40-50
11020;53;AW00011020;;Jordan;C;King;0;S;;M;jordan73@adventure-works.com;40000;0;0;High School;Educaci¢n secundaria;Bac + 2;Skilled Manual;Obrero especializado;Technicien;0;2;7156 Rose Dr.;;550-555-0163;7/2/07;1-2 Miles;North America;46;1;20;9;1978;40-50
11021;536;AW00011021;;Destiny;;Wilson;0;S;;F;destiny7@adventure-works.com;40000;0;0;Partial College;Estudios universitarios (en curso);Baccalaur‚at;Skilled Manual;Obrero especializado;Technicien;0;1;8148 W. Lake Dr.;;622-555-0158;7/27/2007;1-2 Miles;North America;46;1;3;9;1978;40-50
